stamp,word,type,mora
default,夜の,修飾部,3
default,白い,修飾部,3
default,黒い,修飾部,3
default,青い,修飾部,3
default,銀の,修飾部,3
default,冬の,修飾部,3
default,雨の,修飾部,3
default,秋の,修飾部,3
default,空の,修飾部,3
default,風の,修飾部,3
default,雪の,修飾部,3
default,君の,修飾部,3
default,僕の,修飾部,3
default,朝の,修飾部,3
default,夏の,修飾部,3
default,ただの,修飾部,3
default,恋の,修飾部,3
default,走る,修飾部,3
default,笑う,修飾部,3
default,はずむ,修飾部,3
default,眠る,修飾部,3
default,浮かぶ,修飾部,3
default,ゆれる,修飾部,3
default,とけた,修飾部,3
default,さめた,修飾部,3
default,瀕死の,修飾部,4
default,狂った,修飾部,4
default,静かな,修飾部,4
default,さみしい,修飾部,4
default,深紅の,修飾部,4
default,ひ弱な,修飾部,4
default,世俗の,修飾部,4
default,無言の,修飾部,4
default,つめたい,修飾部,4
default,みにくい,修飾部,4
default,汚れた,修飾部,4
default,あかるい,修飾部,4
default,かすかな,修飾部,4
default,やつれた,修飾部,4
default,わたしの,修飾部,4
default,まばゆい,修飾部,4
default,無限の,修飾部,4
default,見えない,修飾部,4
default,見知らぬ,修飾部,4
default,おどけた,修飾部,4
default,小さな,修飾部,4
default,真冬の,修飾部,4
default,孤独な,修飾部,4
default,どこかの,修飾部,4
default,あなたの,修飾部,4
default,かなしい,修飾部,4
default,けだるい,修飾部,4
default,ねじれた,修飾部,4
default,やさしい,修飾部,4
default,清潔な,修飾部,5
default,走り去る,修飾部,5
default,まっすぐな,修飾部,5
default,はじめての,修飾部,5
default,夢のない,修飾部,5
default,動かない,修飾部,5
default,情熱の,修飾部,5
default,街じゅうの,修飾部,5
default,街じゅうが,修飾部,5
default,水色の,修飾部,5
default,金色の,修飾部,5
default,漆黒の,修飾部,5
default,退屈な,修飾部,5
default,完璧な,修飾部,5
default,その先の,修飾部,5
default,生真面目な,修飾部,5
default,さかさまの,修飾部,5
default,おそろしい,修飾部,5
default,気の毒な,修飾部,5
default,不自然な,修飾部,5
default,いじわるな,修飾部,5
default,やわらかな,修飾部,5
default,とくべつな,修飾部,5
default,あたらしい,修飾部,5
default,めずらしい,修飾部,5
default,あたたかい,修飾部,5
default,退屈な,修飾部,5
default,うつくしい,修飾部,5
default,ありふれた,修飾部,5
default,罪のない,修飾部,5
default,明け方の,修飾部,5
default,真夜中の,修飾部,5
default,夕暮れの,修飾部,5
default,誠実な,修飾部,5
default,おおげさな,修飾部,5
default,鬱病の,修飾部,5
default,アラビアの,修飾部,5
default,僕だけの,修飾部,5
default,君だけの,修飾部,5
default,あの人の,修飾部,5
default,あの夏の,修飾部,5
default,凛として,修飾部,5
default,真っ暗な,修飾部,5
default,きえてゆく,修飾部,5
default,真っ白な,修飾部,5
default,ほんとうの,修飾部,5
default,にぎやかな,修飾部,5
default,やせこけた,修飾部,5
default,臨月の,修飾部,5
default,永遠の,修飾部,5
default,透明な,修飾部,5
default,にせものの,修飾部,5
default,おととしの,修飾部,5
default,意味のない,修飾部,5
default,天上の,修飾部,5
default,とけてゆく,修飾部,5
default,ぺらぺらの,修飾部,5
default,ふわふわの,修飾部,5
default,にぎやかな,修飾部,5
